Filename,gIoU,cIoU
10126247704_3bf0c7e05c_o.jpg,0.7399267742625351,0.8499583653037818
10329440286_a4bd282f5e_o.jpg,0.0,0.0
10482337565_990f5dd7f0_o.jpg,0.0016058200192559586,1.0
1049118207_0f5462c4a4_o.jpg,0.19494107761240032,0.9997763213814391
10633362775_6af721b6b9_o.jpg,0.8955165116393523,0.9384379996217916
10675532566_e9e8332f93_o.jpg,0.9151136724204488,0.9307489229034189
10787122893_c0340d4f30_o.jpg,0.16392956911876747,0.2837813083883889
10918668296_86f872e9dd_o.jpg,0.9505883352048086,0.9632703602684025
11134109635_ab0674b42b_o.jpg,0.9549342543325143,0.994594447738543
11311045905_0cd960cfc9_o.jpg,0.9630110287176967,0.9660799514150679
11372766584_1d913c2cd1_o.jpg,0.0005054543554704276,0.003004982332304297
11374586955_0eb9137e85_o.jpg,0.011375735931339686,1.0
11432708643_88c3e6f018_o.jpg,0.4762957850371309,0.4768497499092911
11596550916_e23c5f97d7_o.jpg,0.23021453037678025,0.9914596273291926
11621121133_cc9b016c32_o.jpg,0.03062600073731299,0.9962412743869697
11760953016_bd479599f3_o.jpg,0.3064506260181878,0.9000898573514545
1202869194_1a6c01b973_o.jpg,0.0,0.0
12044731136_476565527a_o.jpg,0.029390702886412,0.9895083932853717
1209055588_36bdace893_o.jpg,0.0,0.0
12509369645_0ed1e0d1c1_o.jpg,0.9121282871764939,0.9525133812072611
12695238515_e4179a7b4d_o.jpg,0.06824923192538072,0.06824923192538072
12965644695_64bc52ee39_o.jpg,0.0,0.0
13014315783_3b05674a7f_o.jpg,0.0013666763175809726,0.008538778842931917
1302064157_467151e024_o.jpg,0.2571268783693414,0.9901020012049737
13040178413_f613444aa3_o.jpg,0.3715563647118245,0.9263061130687912
1358245456_8d6327883a_o.jpg,0.0,0.0
1393778776_cafef20eea_o.jpg,0.9584690251241348,0.9693679478027827
13938629408_f1cc4fbeac_o.jpg,0.9336127726635818,0.9685557251285677
